,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
332,saint-pierre,0,RE,1615668097,73,-21.3393,55.4781,78.8,11.5
333,nhulunbuy,26,AU,1615668098,94,-12.2333,136.7667,75.2,3.31
334,salinopolis,100,BR,1615668098,83,-0.6136,-47.3561,79.72,7.99
335,rivne,100,UA,1615668099,74,50.6231,26.2274,43.0,5.99
336,peniche,0,PT,1615668099,75,39.3558,-9.3811,54.0,8.01
337,imeni poliny osipenko,100,RU,1615668100,93,52.4201,136.4853,21.51,10.4
338,tarnova,0,RO,1615668101,81,46.3167,21.8,45.0,10.36
339,bembereke,72,BJ,1615668101,20,10.2283,2.6634,81.34,5.41
340,santa lucia,75,ES,1615668102,77,27.9117,-15.5407,64.4,12.66
341,omboue,100,GA,1615668102,83,-1.5746,9.2618,79.7,6.76
342,khorramshahr,0,IR,1615668103,44,30.4397,48.1664,59.0,9.22
343,malanje,46,AO,1615668103,90,-9.5402,16.341,65.53,2.66
344,gardabani,75,GE,1615668104,80,41.4605,45.0928,32.0,3.44
345,gorom-gorom,24,BF,1615668104,10,14.4439,-0.2361,79.45,8.77
346,tazovskiy,99,RU,1615668105,81,67.4667,78.7,-13.11,13.76
347,fairbanks,1,US,1615668004,76,64.8378,-147.7164,1.0,2.66
348,gat,0,IL,1615668094,100,31.61,34.7642,57.99,2.89
349,miles city,1,US,1615668106,40,46.4083,-105.8406,53.6,5.66
350,talara,0,PE,1615668107,51,-4.5772,-81.2719,87.8,14.97
351,dabat,0,ET,1615668107,27,12.9842,37.765,60.55,7.4
352,annau,90,TM,1615668108,100,37.8876,58.516,21.2,4.61
353,ilulissat,75,GL,1615668108,66,69.2167,-51.1,8.6,11.5
354,lemon tree passage,90,AU,1615668109,94,-32.7327,152.036,72.0,12.66
355,xining,100,CN,1615667949,22,36.6167,101.7667,45.55,1.86
356,celestun,0,MX,1615668110,57,20.8667,-90.4,81.93,15.57
357,lanxi,53,CN,1615668110,48,29.2195,119.477,54.0,3.6
358,dajal,0,PK,1615668111,33,29.5577,70.3762,67.78,9.06
359,jiwani,0,PK,1615668111,90,25.05,61.7417,73.69,9.37
360,stornoway,75,GB,1615668112,87,58.2093,-6.3865,39.2,12.66
361,bull savanna,39,JM,1615668112,69,17.8868,-77.5902,77.58,6.44
362,megion,0,RU,1615668113,85,61.0296,76.1136,5.0,6.71
363,cochabamba,40,BO,1615668113,35,-17.3895,-66.1568,73.4,6.91
364,aasiaat,100,GL,1615668114,93,68.7098,-52.8699,13.15,5.06
365,trairi,98,BR,1615668114,80,-3.2778,-39.2689,79.36,8.39
